Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,7439557975569665288,2024-11-21T10:44:36,173,PH,85200,212,507,44800000,"The idea of going back to college in my 40s felt daunting, terrifying even. But knowing my family believes in me gives me the strength to face every challenge head-on. This journey has taught me that courage isn’t about being completely fearless—it’s about moving forward despite the fear, trusting that your purpose is greater than any obstacle in your path, and above all, remembering you are never truly alone. #GoForwardTogether@Globe Telecom ",True,Unnamed: 32,bogarttheexplorer,Bogart The Explorer,643800,105,9600000,434,255,False,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7488651424566381841,2025-04-02T17:52:19,86,AU,3129,40,55,23800,"Replying to @biteswithlily Eating iconic Australian food part 2 🥧🎂🇦🇺 📍Romeo’s Pie Cafe, St Leonards - chunky beef pie 📍Flour & Stone, Wooloomooloo - lamington 📍The Goni’s Schnitzelria, Ramsgate - chicken parmigiana  #australia #australian #food #sydney #sydneyfood #australianfood #meatpie #lamington #pavlova #chikoroll ",False,Iconic Aussie Food pt 2 🥧🇦🇺,biteswithlily,biteswithlily,3300000,287,134100000,443,3766,False,Sydney,"New South Wales, Australia",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7305757699386461441,2023-11-26T21:11:13,27,AU,1300000,24300,3961,22600000,"Who else loves tteokbokki? 😍🔥 #ricecake #tteokbokki #korea #food #busan #southkorea #busanfood #koreanfood #ricecakes #streetfood #foodmarket #foodreview  📍Gukje Market, Busan 🇰🇷",False,Tteokbokki in Busan 🔥,biteswithlily,biteswithlily,3300000,287,134100000,443,3766,False,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7329507227637763346,2024-01-29T21:11:30,81,AU,1300000,9394,6894,14700000,Everything I ate for $5 at Quiapo Market 🦑🥚 #quiapo #market #manila #philippines #food #quintamarket #kwekkwek #balut #egg #lumpia #ube #icecream #foodmarket #filipinofood #foodreview ,False,"Everything I ate for $5
  at Quiapo Market 🥚",biteswithlily,biteswithlily,3300000,287,134100000,443,3766,False,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7483631264134843694,2025-03-20T05:12:03,26,US,551300,38100,3223,6600000,Which one here do you hate the most? 🤢 #openingmymouth ,False,Opening my mouth based on how much I like the dessert,_angelomarasigan,Angelo,15600000,254,609200000,675,11000,True,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7482862795357277482,2025-03-18T03:29:57,20,US,184300,1967,1585,2000000,patiently waiting for the KATSEYE comeback 🙂‍↕️ @KATSEYE #debutdance #siblingduo #trendingdances #hybe ,False,,_angelomarasigan,Angelo,15600000,254,609200000,675,11000,True,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7482948669252209966,2025-03-18T09:03:03,73,US,422100,11400,4047,4400000,for my Filipino matcha lovers 💜🍵 #ubematchalatte #ubematcha #howtomakematcha #highqualitymatcha #matcharecipes  ,False,,_angelomarasigan,Angelo,15600000,254,609200000,675,11000,True,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7486552435310234926,2025-03-28T02:07:14,95,US,294800,9460,2108,2700000,anyone want a strawberry matcha latte? 🤭🍵 #strawberrymatchalatte #strawberrymatcharecipe #matcharecipes #matchakit #howtomakematcha #howtomakematchalatte ,False,,_angelomarasigan,Angelo,15600000,254,609200000,675,11000,True,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7467728401915317547,2025-02-05T08:40:54,126,US,2900000,168200,16000,17700000,It’s not that hard to text back 😡 @Lexy @Nia Ivy #kardashians #realitytvshows #realitytelevision #kuwtk #comedytrending ,False,,_angelomarasigan,Angelo,15600000,254,609200000,675,11000,True,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7488551312401960200,2025-04-02T11:23:47,39,AU,3272,57,79,23400,this version is even sadder than the original 😭,False,i’ve watched you fall out of love…,keenante,Keenan Te,2800000,23,116900000,2445,4656,True,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7471117035439803666,2025-02-14T11:49:53,36,AU,401800,35500,5075,4300000,should i release this? 🥹,False,imagine someone posting you to this song… 🥹;‘LISTEN’,keenante,Keenan Te,2800000,23,116900000,2445,4656,True,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7488552974466157842,2025-04-02T11:30:13,33,AU,3093,157,62,23500,wedding version loading…,False,,keenante,Keenan Te,2800000,23,116900000,2445,4656,True,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7474081746292657463,2025-02-22T11:34:30,35,AU,362500,216600,7536,4300000,SEND THIS TO THEM OR TAG THEM 🥹🥹❤️❤️💍💍💍… also GO SAV THIS SONG NOW 🫶🏼🫶🏼🫶🏼,False,send this to the person that you want to MARRY 💍;i’ll love you;JUST LISTEN,keenante,Keenan Te,2800000,23,116900000,2445,4656,True,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7469993066632334599,2025-02-11T11:08:19,33,AU,163400,17000,2560,1800000,since valentines day is coming up… here’s a love song i wrote 🥹 its called ‘rest of my life’ 😭😭😭🥹🥹🥹🥹,False,,keenante,Keenan Te,2800000,23,116900000,2445,4656,True,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7487881630388997394,2025-04-01T04:00:00,31,NZ,720,3,10,7646,Jimmy Hopkins can’t catch a break 😂 #meme #satire #gaming #funny ,False,,modestpelican,ModestPelican,1900000,46,54000000,642,2104,True,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7487316698907823378,2025-03-30T03:32:56,47,NZ,1546,25,7,16500,This game never gets old 😂🥴 #gaming #satire #meme ,False,,modestpelican,ModestPelican,1900000,46,54000000,642,2104,True,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7485068558469303559,2025-03-24T02:08:57,29,NZ,8965,475,15,51800,I simply couldn’t resist… #satire #gaming #meme #storytime ,False,,modestpelican,ModestPelican,1900000,46,54000000,642,2104,True,,,
